    energy       Au-d_up     Au-d_down
-10.166704  0.000000e+00  0.000000e+00
-10.100704  0.000000e+00  0.000000e+00
-10.034704  0.000000e+00  0.000000e+00
 -9.968704 -8.257686e-32  2.769482e-31
 -9.902704 -2.134291e-27  6.482013e-27
 -9.836704 -2.292045e-23  6.304132e-23
 -9.770704 -1.021273e-19  2.543011e-19
 -9.704704 -1.821203e-16  4.101246e-16
 -9.638704 -1.372303e-13  2.794190e-13
 -9.572704 -4.222560e-11  7.766097e-11
 -9.506704 -5.240123e-09  8.687755e-09
 -9.440704 -2.557850e-07  3.806861e-07
 -9.374704 -4.634553e-06  6.123715e-06
 -9.308704 -2.599302e-05  2.919016e-05
 -9.242704 -2.592821e-06 -1.151488e-05
 -9.176704  1.965065e-04 -2.325162e-04
 -9.111704  7.351951e-04 -8.904205e-04
 -9.045704  2.768123e-03 -3.085543e-03
 -8.979704  3.694515e-03 -3.566842e-03
 -8.913704  9.224823e-04 -6.268112e-04
 -8.847704  3.625558e-04 -6.858087e-04
 -8.781704  5.186987e-03 -5.861995e-03
 -8.715704  9.352167e-03 -9.740083e-03
 -8.649704  1.259215e-02 -1.297969e-02
 -8.583704  1.116084e-02 -1.037566e-02
 -8.517704  2.313697e-03 -1.480564e-03
 -8.451704 -2.986951e-03  3.359415e-03
 -8.385704 -1.816626e-03  3.431722e-04
 -8.319704  3.079856e-02 -3.660181e-02
 -8.253704  7.260122e-02 -7.365935e-02
 -8.187704  6.753423e-02 -6.476783e-02
 -8.121704  7.012220e-02 -7.224977e-02
 -8.055704  7.580503e-02 -7.644378e-02
 -7.989704  5.035475e-02 -4.664144e-02
 -7.923704  4.346045e-02 -4.323550e-02
 -7.857704  5.911257e-02 -5.945114e-02
 -7.791704  7.689300e-02 -8.185532e-02
 -7.725704  1.473836e-01 -1.629997e-01
 -7.659704  2.648273e-01 -2.781381e-01
 -7.593704  2.422935e-01 -2.236268e-01
 -7.527704  8.072159e-02 -7.127749e-02
 -7.461704  2.149382e-01 -2.485540e-01
 -7.396704  4.288056e-01 -4.407827e-01
 -7.330704  3.254622e-01 -3.317413e-01
 -7.264704  4.116496e-01 -4.646775e-01
 -7.198704  4.666777e-01 -4.356605e-01
 -7.132704  3.276496e-01 -3.531762e-01
 -7.066704  1.029808e+00 -1.197262e+00
 -7.000704  1.819802e+00 -1.896290e+00
 -6.934704  1.904346e+00 -1.871457e+00
 -6.868704  1.640416e+00 -1.706250e+00
 -6.802704  3.010058e+00 -3.541579e+00
 -6.736704  6.532529e+00 -6.919350e+00
 -6.670704  7.052656e+00 -6.778214e+00
 -6.604704  5.465489e+00 -5.782747e+00
 -6.538704  9.396212e+00 -1.067700e+01
 -6.472704  1.544103e+01 -1.566691e+01
 -6.406704  1.292711e+01 -1.182819e+01
 -6.340704  8.795267e+00 -9.024207e+00
 -6.274704  1.401772e+01 -1.581170e+01
 -6.208704  2.414470e+01 -2.575569e+01
 -6.142704  2.842672e+01 -2.846844e+01
 -6.076704  2.401915e+01 -2.279045e+01
 -6.010704  1.862446e+01 -1.795822e+01
 -5.944704  2.014938e+01 -2.093400e+01
 -5.878704  2.471526e+01 -2.543235e+01
 -5.812704  2.410600e+01 -2.381745e+01
 -5.746704  2.383815e+01 -2.432902e+01
 -5.681704  3.097373e+01 -3.156481e+01
 -5.615704  3.579541e+01 -3.550089e+01
 -5.549704  3.388015e+01 -3.348791e+01
 -5.483704  2.953645e+01 -2.893581e+01
 -5.417704  2.585554e+01 -2.578816e+01
 -5.351704  2.676868e+01 -2.675318e+01
 -5.285704  2.457607e+01 -2.372067e+01
 -5.219704  1.704963e+01 -1.666237e+01
 -5.153704  1.762982e+01 -1.915574e+01
 -5.087704  2.586979e+01 -2.714255e+01
 -5.021704  2.817299e+01 -2.853317e+01
 -4.955704  3.205130e+01 -3.393080e+01
 -4.889704  4.464840e+01 -4.646030e+01
 -4.823704  4.885600e+01 -4.747560e+01
 -4.757704  3.801300e+01 -3.613153e+01
 -4.691704  3.287636e+01 -3.361101e+01
 -4.625704  3.776077e+01 -3.914844e+01
 -4.559704  4.049819e+01 -4.145876e+01
 -4.493704  4.305331e+01 -4.293575e+01
 -4.427704  4.143571e+01 -3.922837e+01
 -4.361704  3.766882e+01 -3.842976e+01
 -4.295704  5.541270e+01 -6.009050e+01
 -4.229704  6.895550e+01 -6.842000e+01
 -4.163704  5.392787e+01 -5.194716e+01
 -4.097704  4.698327e+01 -4.747598e+01
 -4.032704  4.965410e+01 -4.996720e+01
 -3.966704  4.845450e+01 -4.764670e+01
 -3.900704  4.360465e+01 -4.289474e+01
 -3.834704  4.166684e+01 -4.100678e+01
 -3.768704  3.770405e+01 -3.661148e+01
 -3.702704  3.743702e+01 -3.912739e+01
 -3.636704  4.875220e+01 -5.144840e+01
 -3.570704  5.535860e+01 -5.443280e+01
 -3.504704  4.758890e+01 -4.531290e+01
 -3.438704  4.163821e+01 -4.147464e+01
 -3.372704  3.926399e+01 -3.962541e+01
 -3.306704  3.834687e+01 -3.900663e+01
 -3.240704  4.266040e+01 -4.360131e+01
 -3.174704  4.675159e+01 -4.709750e+01
 -3.108704  4.523609e+01 -4.414540e+01
 -3.042704  3.876791e+01 -3.745400e+01
 -2.976704  3.575988e+01 -3.717581e+01
 -2.910704  4.504230e+01 -4.749170e+01
 -2.844704  5.460270e+01 -5.358831e+01
 -2.778704  4.822345e+01 -4.489980e+01
 -2.712704  3.653119e+01 -3.700797e+01
 -2.646704  4.522765e+01 -4.886945e+01
 -2.580704  5.680634e+01 -5.669368e+01
 -2.514704  5.066350e+01 -4.940380e+01
 -2.448704  4.356096e+01 -4.286238e+01
 -2.382704  4.096229e+01 -4.137565e+01
 -2.317704  4.720936e+01 -4.968473e+01
 -2.251704  5.809377e+01 -6.033563e+01
 -2.185704  6.279200e+01 -6.293910e+01
 -2.119704  6.294220e+01 -6.513880e+01
 -2.053704  6.822440e+01 -7.116050e+01
 -1.987704  7.322440e+01 -7.013700e+01
 -1.921704  5.999260e+01 -5.185548e+01
 -1.855704  2.887519e+01 -2.439338e+01
 -1.789704  2.163757e+01 -2.291566e+01
 -1.723704  2.614344e+01 -2.576614e+01
 -1.657704  1.999483e+01 -1.954494e+01
 -1.591704  1.468520e+01 -1.397395e+01
 -1.525704  1.020060e+01 -9.081568e+00
 -1.459704  7.251393e+00 -6.852809e+00
 -1.393704  6.674628e+00 -6.746135e+00
 -1.327704  6.857609e+00 -6.565348e+00
 -1.261704  3.549759e+00 -2.864718e+00
 -1.195704  8.808751e-01 -7.862549e-01
 -1.129704  8.491823e-01 -8.211955e-01
 -1.063704  2.891249e-01 -1.571235e-01
 -0.997704 -2.987272e-01  3.236308e-01
 -0.931704  3.441144e-01 -6.879521e-01
 -0.865704  3.944936e+00 -4.901098e+00
 -0.799704  9.281660e+00 -1.015699e+01
 -0.733704  1.041166e+01 -9.855512e+00
 -0.667704  5.530296e+00 -4.407191e+00
 -0.602704  1.839313e+00 -1.501573e+00
 -0.536704  8.267780e-01 -7.396110e-01
 -0.470704  4.344211e-01 -4.885052e-01
 -0.404704  2.343850e+00 -2.897677e+00
 -0.338704  6.546628e+00 -6.909977e+00
 -0.272704  6.481144e+00 -6.056000e+00
 -0.206704  3.229659e+00 -2.869637e+00
 -0.140704  1.209550e+00 -1.014120e+00
 -0.074704  4.288743e-01 -4.478634e-01
 -0.008704  8.951771e-01 -9.514166e-01
  0.057296  9.776497e-01 -9.054338e-01
  0.123296  5.714243e-01 -5.455319e-01
  0.189296  4.843400e-01 -4.772332e-01
  0.255296  1.008829e+00 -1.380340e+00
  0.321296  4.491444e+00 -5.336829e+00
  0.387296  7.979124e+00 -7.988706e+00
  0.453296  6.244593e+00 -5.615395e+00
  0.519296  3.659050e+00 -3.371950e+00
  0.585296  2.611149e+00 -2.460464e+00
