   energy  Au-5d_up  Au-5d_down   O-2p_up  O-2p_down
-10.01250   0.00000     0.00000   0.00000    0.00000
 -9.99375   0.00000     0.00000   0.00000    0.00000
 -9.97500   0.00000     0.00000   0.00000    0.00000
 -9.95625   0.00000     0.00000   0.00000    0.00000
 -9.93750   0.00000     0.00000   0.00000    0.00000
 -9.91875   0.00000     0.00000   0.00000    0.00000
 -9.90000   0.00000     0.00000   0.00000    0.00000
 -9.88125   0.00000     0.00000   0.00000    0.00000
 -9.86250   0.00000     0.00000   0.00000    0.00000
 -9.84375   0.00000     0.00000   0.00000    0.00000
 -9.82500   0.00000     0.00000   0.00000    0.00000
 -9.80625   0.00000     0.00000   0.00000    0.00000
 -9.78750   0.00000     0.00000   0.00000    0.00000
 -9.76875   0.00000     0.00000   0.00000    0.00000
 -9.75000   0.00000     0.00000   0.00000    0.00000
 -9.73125   0.00000     0.00000   0.00000    0.00000
 -9.71250   0.00000     0.00000   0.00000    0.00000
 -9.69375   0.00000     0.00000   0.00000    0.00000
 -9.67500   0.00000     0.00000   0.00000    0.00000
 -9.65625   0.00000     0.00000   0.00000    0.00000
 -9.63750   0.00000     0.00000   0.00000    0.00000
 -9.61875   0.00000     0.00000   0.00000    0.00000
 -9.60000   0.00000     0.00000   0.00000    0.00000
 -9.58125   0.00000     0.00000   0.00000    0.00000
 -9.56250   0.00000     0.00000   0.00000    0.00000
 -9.54375   0.00000     0.00000   0.00000    0.00000
 -9.52500   0.00000     0.00000   0.00000    0.00000
 -9.50625   0.00000     0.00000   0.00000    0.00000
 -9.48750   0.00000     0.00000   0.00000    0.00000
 -9.46875   0.00000     0.00000   0.00000    0.00000
 -9.45000   0.00000     0.00000   0.00000    0.00000
 -9.43125   0.00000     0.00000   0.00000    0.00000
 -9.41250   0.00000     0.00000   0.00000    0.00000
 -9.39375   0.00000     0.00000   0.00000    0.00000
 -9.37500   0.00000     0.00000   0.00000    0.00000
 -9.35625   0.00000     0.00000   0.00000    0.00000
 -9.33750   0.00000     0.00000   0.00000    0.00000
 -9.31875   0.00000     0.00000   0.00000    0.00000
 -9.30000   0.00000     0.00000   0.00000    0.00000
 -9.28125   0.00000     0.00000   0.00000    0.00000
 -9.26250   0.00000     0.00000   0.00000    0.00000
 -9.24375   0.00000     0.00000   0.00000    0.00000
 -9.22500   0.00000     0.00000   0.00000    0.00000
 -9.20625   0.00000     0.00000   0.00000    0.00000
 -9.18750   0.00000     0.00000   0.00000    0.00000
 -9.16875   0.00000     0.00000   0.00000    0.00000
 -9.15000   0.00000     0.00000   0.00000    0.00000
 -9.13125   0.00000     0.00000   0.00000    0.00000
 -9.11250   0.00000     0.00000   0.00000    0.00000
 -9.09375   0.00000     0.00000   0.00000    0.00000
 -9.07500   0.00000     0.00000   0.00000    0.00000
 -9.05625   0.00000     0.00000   0.00000    0.00000
 -9.03750   0.00000     0.00000   0.00000    0.00000
 -9.01875   0.00000     0.00000   0.00000    0.00000
 -9.00000   0.00000     0.00000   0.00000    0.00000
 -8.98125   0.00000     0.00000   0.00000    0.00000
 -8.96250   0.00000     0.00000   0.00000    0.00000
 -8.94375   0.00000     0.00000   0.00000    0.00000
 -8.92500   0.00000     0.00000   0.00000    0.00000
 -8.90625   0.00000     0.00000   0.00000    0.00000
 -8.88750   0.00000     0.00000   0.00000    0.00000
 -8.86875   0.00000     0.00000   0.00000    0.00000
 -8.85000   0.00000     0.00000   0.00000    0.00000
 -8.83125   0.00000     0.00000   0.00000    0.00000
 -8.81250   0.00000     0.00000   0.00000    0.00000
 -8.79375   0.00000     0.00000   0.00000    0.00000
 -8.77500   0.00000     0.00000   0.00000    0.00000
 -8.75625   0.00000     0.00000   0.00000    0.00000
 -8.73750   0.00000     0.00000   0.00000    0.00000
 -8.71875   0.00000     0.00000   0.00000    0.00000
 -8.70000   0.00000     0.00000   0.00000    0.00000
 -8.68125   0.00000     0.00000   0.00000    0.00000
 -8.66250   0.00000     0.00000   0.00000    0.00000
 -8.64375   0.00000     0.00000   0.00000    0.00000
 -8.62500   0.00000     0.00000   0.00000    0.00000
 -8.60625   0.00000     0.00000   0.00000    0.00000
 -8.58750   0.00000     0.00000   0.00000    0.00000
 -8.56875   0.00000     0.00000   0.00000    0.00000
 -8.55000   0.00000     0.00000   0.00000    0.00000
 -8.53125   0.00000     0.00000   0.00000    0.00000
 -8.51250   0.00000     0.00000   0.00000    0.00000
 -8.49375   0.00000     0.00000   0.00000    0.00000
 -8.47500   0.00000     0.00000   0.00000    0.00000
 -8.45625   0.00000     0.00000   0.00000    0.00000
 -8.43750   0.00000     0.00000   0.00000    0.00000
 -8.41875   0.00000     0.00000   0.00000    0.00000
 -8.40000   0.00000     0.00000   0.00000    0.00000
 -8.38125   0.00000     0.00000   0.00000    0.00000
 -8.36250   0.00000     0.00000   0.00000    0.00000
 -8.34375   0.00000     0.00000   0.00000    0.00000
 -8.32500   0.00000     0.00000   0.00000    0.00000
 -8.30625   0.00000     0.00000   0.00000    0.00000
 -8.28750   0.00000     0.00000   0.00000    0.00000
 -8.26875   0.00000     0.00000   0.00000    0.00000
 -8.25000   0.00000     0.00000   0.00000    0.00000
 -8.23125   0.00000     0.00000   0.00000    0.00000
 -8.21250   0.00000     0.00000   0.00000    0.00000
 -8.19375   0.00000     0.00000   0.00000    0.00000
 -8.17500   0.00000     0.00000   0.00000    0.00000
 -8.15625   0.00000     0.00000   0.00000    0.00000
 -8.13750   0.00000     0.00000   0.00000    0.00000
 -8.11875   0.00000     0.00000   0.00000    0.00000
 -8.10000   0.00000     0.00000   0.00000    0.00000
 -8.08125   0.00000     0.00000   0.00000    0.00000
 -8.06250   0.00000     0.00000   0.00000    0.00000
 -8.04375   0.00000     0.00000   0.00000    0.00000
 -8.02500   0.00000     0.00000   0.00000    0.00000
 -8.00625   0.00000     0.00000   0.00000    0.00000
 -7.98750   0.00000     0.00000   0.00000    0.00000
 -7.96875   0.00000     0.00000   0.00000    0.00000
 -7.95000   0.00000     0.00000   0.00000    0.00000
 -7.93125   0.00000     0.00000   0.00000    0.00000
 -7.91250   0.00000     0.00000   0.00000    0.00000
 -7.89375   0.00000     0.00000   0.00000    0.00000
 -7.87500   0.00000     0.00000   0.00000    0.00000
 -7.85625   0.00000     0.00000   0.00000    0.00000
 -7.83750   0.00000     0.00000   0.00000    0.00000
 -7.81875   0.00000     0.00000   0.00000    0.00000
 -7.80000   0.00000     0.00000   0.00000    0.00000
 -7.78125   0.00000     0.00000   0.00000    0.00000
 -7.76250   0.00000     0.00000   0.00000    0.00000
 -7.74375   0.00000     0.00000   0.00000    0.00000
 -7.72500   0.00000     0.00000   0.00000    0.00000
 -7.70625   0.00000     0.00000   0.00000    0.00000
 -7.68750   0.00000     0.00000   0.00000    0.00000
 -7.66875   0.00000     0.00000   0.00000    0.00000
 -7.65000   0.00000     0.00000   0.00000    0.00000
 -7.63125   0.00000     0.00000   0.00000    0.00000
 -7.61250   0.00000     0.00000   0.00000    0.00000
 -7.59375   0.00000     0.00000   0.00000    0.00000
