   energy  Pt-5d_up  Pt-5d_down  Propane_up  Propane_down
-15.01877   0.00000     0.00000     0.00000       0.00000
-14.99374   0.00000     0.00000     0.00000       0.00000
-14.96871   0.00000     0.00000     0.00000       0.00000
-14.94368   0.00000     0.00000     0.00000       0.00000
-14.91865   0.00000     0.00000     0.00000       0.00000
-14.89362   0.00000     0.00000     0.00000       0.00000
-14.86859   0.00000     0.00000     0.00000       0.00000
-14.84355   0.00000     0.00000     0.00000       0.00000
-14.81852   0.00000     0.00000     0.00000       0.00000
-14.79349   0.00000     0.00000     0.00000       0.00000
-14.76846   0.00000     0.00000     0.00000       0.00000
-14.74343   0.00000     0.00000     0.00000       0.00000
-14.71840   0.00000     0.00000     0.00000       0.00000
-14.69337   0.00000     0.00000     0.00000       0.00000
-14.66834   0.00000     0.00000     0.00000       0.00000
-14.64330   0.00000     0.00000     0.00000       0.00000
-14.61827   0.00000     0.00000     0.00000       0.00000
-14.59324   0.00000     0.00000     0.00000       0.00000
-14.56821   0.00000     0.00000     0.00000       0.00000
-14.54318   0.00000     0.00000     0.00000       0.00000
-14.51815   0.00000     0.00000     0.00000       0.00000
-14.49312   0.00000     0.00000     0.00000       0.00000
-14.46809   0.00000     0.00000     0.00000       0.00000
-14.44305   0.00000     0.00000     0.00000       0.00000
-14.41802   0.00000     0.00000     0.00000       0.00000
-14.39299   0.00000     0.00000     0.00000       0.00000
-14.36796   0.00000     0.00000     0.00000       0.00000
-14.34293   0.00000     0.00000     0.00000       0.00000
-14.31790   0.00000     0.00000     0.00000       0.00000
-14.29287   0.00000     0.00000     0.00000       0.00000
-14.26783   0.00000     0.00000     0.00000       0.00000
-14.24280   0.00000     0.00000     0.00000       0.00000
-14.21777   0.00000     0.00000     0.00000       0.00000
-14.19274   0.00000     0.00000     0.00000       0.00000
-14.16771   0.00000     0.00000     0.00000       0.00000
-14.14268   0.00000     0.00000     0.00000       0.00000
-14.11765   0.00000     0.00000     0.00000       0.00000
-14.09262   0.00000     0.00000     0.00000       0.00000
-14.06758   0.00000     0.00000     0.00000       0.00000
-14.04255   0.00000     0.00000     0.00000       0.00000
-14.01752   0.00000     0.00000     0.00000       0.00000
-13.99249   0.00000     0.00000     0.00000       0.00000
-13.96746   0.00000     0.00000     0.00000       0.00000
-13.94243   0.00000     0.00000     0.00000       0.00000
-13.91740   0.00000     0.00000     0.00000       0.00000
-13.89237   0.00000     0.00000     0.00000       0.00000
-13.86733   0.00000     0.00000     0.00000       0.00000
-13.84230   0.00000     0.00000     0.00000       0.00000
-13.81727   0.00000     0.00000     0.00000       0.00000
-13.79224   0.00000     0.00000     0.00000       0.00000
-13.76721   0.00000     0.00000     0.00000       0.00000
-13.74218   0.00000     0.00000     0.00000       0.00000
-13.71715   0.00000     0.00000     0.00000       0.00000
