    energy       Pt-d_up     Pt-d_down
-10.540078  0.000000e+00  0.000000e+00
-10.474078  0.000000e+00  0.000000e+00
-10.408078  0.000000e+00  0.000000e+00
-10.342078 -2.112675e-31  4.839077e-34
-10.276078 -4.956924e-27  1.867870e-29
-10.210078 -4.829813e-23  2.996548e-25
-10.144078 -1.950654e-19  1.994509e-21
-10.078078 -3.147681e-16  5.315702e-18
-10.012078 -2.144485e-13  6.023035e-15
 -9.946078 -5.955419e-11  2.785580e-12
 -9.880078 -6.652061e-09  5.226739e-10
 -9.814078 -2.905836e-07  3.907019e-08
 -9.748078 -4.634072e-06  1.117675e-06
 -9.682078 -2.103240e-05  1.093674e-05
 -9.616078  2.115376e-05  2.006121e-05
 -9.550078  1.823541e-04 -9.160301e-05
 -9.484078  4.192060e-04 -2.413119e-04
 -9.418078  2.084453e-03 -8.908061e-04
 -9.352078  3.593318e-03 -3.078057e-03
 -9.286078  1.447690e-03 -3.013552e-03
 -9.220078 -5.118312e-04 -2.886133e-04
 -9.154078  1.877879e-03  1.933820e-04
 -9.088078  7.699673e-03 -4.307927e-03
 -9.022078  9.576397e-03 -8.677222e-03
 -8.956078  1.359819e-02 -1.031211e-02
 -8.890078  1.235953e-02 -1.422805e-02
 -8.824078  2.498430e-03 -7.882078e-03
 -8.758078 -1.453581e-03 -3.263545e-05
 -8.692078 -3.736503e-03  2.104201e-03
 -8.626078  5.048911e-03  3.440645e-03
 -8.560078  5.311698e-02 -1.922607e-02
 -8.494078  7.379824e-02 -6.851116e-02
 -8.428078  2.891166e-02 -5.562809e-02
 -8.362078  4.820947e-02 -2.353598e-02
 -8.296078  1.115650e-01 -7.436416e-02
 -8.230078  7.258976e-02 -1.023723e-01
 -8.165078  6.056913e-03 -3.795549e-02
 -8.099078  1.729151e-02 -3.522033e-03
 -8.033078  4.956742e-02 -3.410519e-02
 -7.967078  8.090621e-02 -5.377146e-02
 -7.901078  1.997567e-01 -1.054908e-01
 -7.835078  3.227336e-01 -2.279226e-01
 -7.769078  2.428509e-01 -3.011368e-01
 -7.703078  2.722240e-02 -1.667061e-01
 -7.637078  3.332974e-02  7.037764e-03
 -7.571078  3.355151e-01 -9.134420e-02
 -7.505078  4.267309e-01 -3.893305e-01
 -7.439078  1.627933e-01 -3.414902e-01
 -7.373078  1.676082e-01 -1.068880e-01
 -7.307078  4.592019e-01 -2.025010e-01
 -7.241078  5.978821e-01 -4.311482e-01
 -7.175078  1.018786e+00 -5.313949e-01
 -7.109078  1.232063e+00 -9.239243e-01
 -7.043078  1.198161e+00 -1.077952e+00
 -6.977078  1.446134e+00 -1.080874e+00
 -6.911078  1.222441e+00 -1.544386e+00
 -6.845078  2.390558e+00 -1.099365e+00
 -6.779078  5.185209e+00 -6.733083e-01
 -6.713078  6.574871e+00 -2.585109e+00
 -6.647078  5.487529e+00 -5.111484e+00
 -6.581078  4.019968e+00 -6.419790e+00
 -6.515078  6.999940e+00 -6.384092e+00
 -6.449078  1.338273e+01 -5.792179e+00
 -6.383078  1.279875e+01 -8.463948e+00
 -6.317078  7.341791e+00 -1.195544e+01
 -6.251078  5.272571e+00 -1.109818e+01
 -6.185078  8.525903e+00 -6.448951e+00
 -6.119078  1.649119e+01 -4.765065e+00
 -6.053078  2.349998e+01 -8.652767e+00
 -5.987078  2.501524e+01 -1.510509e+01
 -5.921078  1.842398e+01 -2.097711e+01
 -5.855078  1.378200e+01 -2.468091e+01
